French,English,German
partie,part,Teil
histoire,history,Geschichte
chercher,search,Suche
seulement,only,nur
police,police,Polizei
pensais,thought,habe gedacht
aide,help,Hilfe
demande,request,Anfrage
genre,kind,nett
mois,month,Monat
frère,brother,Bruder
laisser,let,Lassen
car,because,weil
mettre,to put,stellen
aucun,no,Nein
laisse,leash,Leine
eux,them,Sie
ville,city,Stadt
chaque,each,jeder
parlé,speak,sprechen
arrivé,come,Kommen Sie
devrait,should,sollte
bébé,baby,Baby
longtemps,long time,lange Zeit
heures,hours,Std
vont,will,werden
pendant,while,während
revoir,meet again,wieder treffen
aucune,any,irgendein
place,square,Quadrat
parle,speak,sprechen
compris,understood,verstanden
savais,knew,wusste
étaient,were,wurden
attention,Warning,Warnung
voici,here is,hier ist
pourrais,could,könnten
affaire,case,Fall
donner,give,geben
type,type,Art
leurs,their,ihr
donné,given,gegeben
train,train,Zug
corps,body,Körper
endroit,place,Platz
yeux,eyes,Augen
façon,way,Weg
écoute,listen,Hör mal zu
dont,whose,deren
trouve,find,finden
premier,first,zuerst
perdu,lost,hat verloren
main,hand,Hand
première,first,zuerst
côté,side,Seite
pouvoir,power,Leistung
vieux,old,alt
sois,be,Sein
tiens,here,Hier
matin,morning,Morgen
tellement,so much,so viel
enfant,child,Kind
point,point,Punkt
venu,came,kam
suite,after,nach dem
pardon,sorry,Es tut uns leid
venez,come,Kommen Sie
devant,in front of,vor dem
vers,towards,gegenüber
minutes,minutes,Protokoll
demandé,request,Anfrage
chambre,bedroom,Schlafzimmer
mis,placed,platziert
belle,beautiful,schön
droit,law,Recht
aimerais,would like to,würde gerne
aujourd'hui,today,heute
mari,husband,Mann
cause,cause,Ursache
enfin,finally,schließlich
espère,hope,hoffen
eau,water,Wasser
attendez,Wait,Warten
parti,left,links
nouvelle,new,Neu
boulot,job,Job
arrêter,Stop,Halt
dirait,would say,würde sagen
terre,Earth,Erde
compte,account,Konto
donne,given,gegeben
loin,far,weit
fin,end,Ende
croire,believe,glauben
chérie,sweetheart,Schatz
gros,large,groß
plutôt,rather,lieber
aura,will have,werde haben
filles,girls,Mädchen
jouer,to play,spielen
bureau,office,Büro